player_id,shot,goal,goal_allowed,assist,pass,pass_accurate,tackle,accel,counter,opportunity,keypass,own_goal,interception,smart,clearance,cross,air_duel,air_duel_won,gk_leave_line,gk_save_attempt,throw,corner,min,shot_per_90,goal_per_90,goal_allowed_per_90,assist_per_90,pass_per_90,pass_accurate_per_90,tackle_per_90,accel_per_90,counter_per_90,opportunity_per_90,keypass_per_90,own_goal_per_90,interception_per_90,smart_per_90,clearance_per_90,cross_per_90,air_duel_per_90,air_duel_won_per_90,gk_leave_line_per_90,gk_save_attempt_per_90,throw_per_90,corner_per_90
70156,2,0,0,0,77,63,3,4,2,2,4,0,3,0,0,11,8,2,0,0,0,0,180.0,-0.08414063238443774,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.21656160541440272,-0.21332437342069172,-0.07280352570241895,-0.05939138706736163,-0.15556349186177276,-0.09415544714303564,-0.04195906786926303,-0.0419590679150024,-0.21125303295333944,0.0,-0.1723218675253604,-0.05939138701737723,-0.21138558521333944,-0.19197469172647624,-0.2073107736272674,-0.20084346800495026,-0.04195906796035247,-0.33928855933239493
70379,0,0,0,0,14,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,17.0,-0.08414063239773663,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.21656160541192226,-0.21332437341850108,-0.07280352572543294,-0.05939138710491018,-0.15556349186475307,-0.09415544715494106,-0.04195906792231794,-0.0419590679150024,-0.21125303295464884,0.0,-0.1723218675253604,-0.05939138682245605,-0.21138558521948392,-0.1919746917284991,-0.2073107736272674,-0.20084346800495026,-0.04195906767947353,-0.33928855933239493
70381,0,0,0,0,54,45,1,0,0,0,0,0,3,0,0,7,5,2,0,0,4,0,90.0,-0.08414063239773663,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.21656160541332328,-0.21332437341958554,-0.07280352571009029,-0.05939138710491018,-0.15556349186475307,-0.09415544715494106,-0.04195906792231794,-0.0419590679150024,-0.21125303295203005,0.0,-0.1723218675253604,-0.05939138698921581,-0.2113855852118033,-0.1919746917244534,-0.2073107736272674,-0.20084346800495026,-0.041959067854242645,-0.33928855933239493
70389,0,0,0,0,137,103,4,3,1,0,0,0,15,0,4,5,14,4,0,0,24,0,270.0,-0.08414063239773663,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.21656160541390365,-0.21332437342045954,-0.07280352570497606,-0.05939138708613591,-0.15556349186375965,-0.09415544715494106,-0.04195906792231794,-0.0419590679150024,-0.21125303295028416,0.0,-0.17232186752153775,-0.05939138708934529,-0.21138558521231537,-0.19197469172580198,-0.2073107736272674,-0.20084346800495026,-0.04195906774813283,-0.33928855933239493
70403,2,0,0,0,162,152,2,0,3,2,0,0,12,0,0,2,4,2,0,0,0,0,155.0,-0.08414063238229276,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.21656160541053315,-0.2133243734160411,-0.07280352570761565,-0.05939138710491018,-0.15556349185956156,-0.0941554471411154,-0.04195906792231794,-0.0419590679150024,-0.21125303294856645,0.0,-0.1723218675253604,-0.05939138709883337,-0.2113855852159162,-0.19197469172614998,-0.2073107736272674,-0.20084346800495026,-0.04195906796035247,-0.33928855933239493
70965,1,0,0,0,150,135,0,5,6,1,2,0,5,0,2,7,14,5,0,0,2,3,261.0,-0.08414063239315081,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.2165616054134818,-0.2133243734194584,-0.07280352572543294,-0.05939138707254074,-0.1555634918585869,-0.09415544715083575,-0.041959067904023144,-0.0419590679150024,-0.21125303295314377,0.0,-0.1723218675233832,-0.05939138707531853,-0.21138558521206818,-0.19197469172501141,-0.2073107736272674,-0.20084346800495026,-0.04195906794205767,0.4514640533145833
71703,0,0,0,0,94,76,0,1,1,0,0,0,19,0,14,0,11,5,0,0,0,0,360.0,-0.08414063239773663,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.21656160541544736,-0.21332437342171592,-0.07280352572543294,-0.05939138710021661,-0.155563491864008,-0.09415544715494106,-0.04195906792231794,-0.0419590679150024,-0.2112530329505024,0.0,-0.17232186751532594,-0.059391387120635755,-0.2113855852152596,-0.19197469172597054,-0.2073107736272674,-0.20084346800495026,-0.04195906796035247,-0.33928855933239493
72397,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0.0,-0.08414063239773663,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.21656160541708394,-0.2133243734232727,-0.07280352572543294,-0.05939138710491018,-0.15556349186475307,-0.09415544715494106,-0.04195906792231794,-0.0419590679150024,0.5743873314212344,0.0,-0.1723218675253604,-0.059391387120635755,8.083676344844914,1.6285853014634333,-0.2073107736272674,-0.20084346800495026,-0.04195906796035247,-0.33928855933239493
77521,2,0,0,0,80,66,0,0,1,2,1,0,10,0,2,2,6,3,0,0,15,0,253.0,-0.08414063238827497,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.21656160541510205,-0.213324373421349,-0.07280352572543294,-0.05939138710491018,-0.1555634918636929,-0.09415544714647081,-0.041959067912881294,-0.0419590679150024,-0.21125303295154355,0.0,-0.17232186752332065,-0.05939138710727856,-0.21138558521620524,-0.1919746917263403,-0.2073107736272674,-0.20084346800495026,-0.0419590678188028,-0.33928855933239493
77558,5,1,0,0,89,71,2,0,6,6,6,0,10,0,0,9,2,1,0,0,1,13,270.0,-0.0841406323755718,0.5119602410493216,-0.21747112062125423,-0.24778552081913527,-0.21656160541501793,-0.21332437342133356,-0.0728035257152045,-0.05939138710491018,-0.15556349185879242,-0.09415544713113021,-0.04195906786926303,-0.0419590679150024,-0.21125303295173906,0.0,-0.1723218675253604,-0.05939138706431292,-0.21138558521845988,-0.1919746917278248,-0.2073107736272674,-0.20084346800495026,-0.041959067951509985,2.9730862736444332
78991,0,0,0,0,65,58,5,0,2,0,1,0,16,0,7,3,8,2,0,0,0,0,258.0,-0.08414063239773663,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.21656160541550487,-0.21332437342161492,-0.07280352569867247,-0.05939138710491018,-0.1555634918626738,-0.09415544715494106,-0.041959067913064176,-0.0419590679150024,-0.21125303294977665,0.0,-0.17232186751835962,-0.05939138710098825,-0.21138558521519707,-0.19197469172708778,-0.2073107736272674,-0.20084346800495026,-0.04195906796035247,-0.33928855933239493
79006,2,0,0,0,46,30,0,3,10,1,0,0,8,0,4,0,44,19,0,0,0,0,270.0,-0.0841406323888707,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.21656160541601607,-0.21332437342245336,-0.07280352572543294,-0.05939138708613591,-0.15556349185481866,-0.0941554471509726,-0.04195906792231794,-0.0419590679150024,-0.21125303295232103,0.0,-0.17232186752153775,-0.059391387120635755,-0.21138558519695416,-0.19197469171568773,-0.2073107736272674,-0.20084346800495026,-0.04195906796035247,-0.33928855933239493
79098,0,0,0,0,65,43,3,3,5,1,0,0,10,0,7,7,4,2,0,0,28,0,270.0,-0.08414063239773663,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.21656160541557504,-0.21332437342209828,-0.07280352571009029,-0.05939138708613591,-0.15556349185978588,-0.0941554471509726,-0.04195906792231794,-0.0419590679150024,-0.21125303295173906,0.0,-0.17232186751867076,-0.0593913870768291,-0.21138558521743575,-0.1919746917271505,-0.2073107736272674,-0.20084346800495026,-0.041959067712762886,-0.33928855933239493
79149,2,1,0,0,31,19,1,2,5,2,0,0,8,0,3,2,10,2,0,0,0,2,164.0,-0.08414063238314029,1.040270536122016,-0.21747112062125423,-0.24778552081913527,-0.21656160541589917,-0.2133243734224184,-0.07280352571701319,-0.05939138708430427,-0.15556349185657536,-0.09415544714187413,-0.04195906792231794,-0.0419590679150024,-0.21125303295081643,0.0,-0.17232186752064038,-0.05939138710002984,-0.211385585211054,-0.19197469172627887,-0.2073107736272674,-0.20084346800495026,-0.04195906796035247,0.49968067603676986
79248,1,0,0,0,43,32,0,0,0,1,0,0,12,0,10,2,3,2,0,0,15,0,215.0,-0.08414063239216965,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.2165616054158304,-0.21332437342217514,-0.07280352572543294,-0.05939138710491018,-0.15556349186475307,-0.0941554471499574,-0.04195906792231794,-0.0419590679150024,-0.21125303295026387,0.0,-0.17232186751335907,-0.05939138710491775,-0.21138558521755482,-0.19197469172680556,-0.2073107736272674,-0.20084346800495026,-0.04195906779378473,-0.33928855933239493
79320,3,0,0,0,37,27,3,0,11,4,0,0,19,0,5,1,24,9,0,0,1,0,205.0,-0.08414063238022101,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.21656160541595268,-0.21332437342230148,-0.07280352570522554,-0.05939138710491018,-0.1555634918503603,-0.09415544713403397,-0.04195906792231794,-0.0419590679150024,-0.2112530329473673,0.0,-0.17232186751906703,-0.05939138711239338,-0.21138558520329845,-0.19197469172050638,-0.2073107736272674,-0.20084346800495026,-0.04195906794870627,-0.33928855933239493
79381,1,0,0,0,43,28,1,1,5,1,1,0,7,0,2,4,5,2,0,0,1,3,168.0,-0.08414063239061223,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.2165616054154797,-0.21332437342204366,-0.07280352571721366,-0.05939138709485253,-0.15556349185677007,-0.09415544714856316,-0.0419590679081068,-0.0419590679150024,-0.21125303295137535,0.0,-0.17232186752228865,-0.05939138708040516,-0.21138558521536935,-0.19197469172633175,-0.2073107736272674,-0.20084346800495026,-0.04195906794614133,0.8892021067439
79449,0,0,0,0,53,44,1,0,0,0,0,0,12,0,8,0,17,5,0,0,0,0,270.0,-0.08414063239773663,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.21656160541585362,-0.213324373422071,-0.07280352572031873,-0.05939138710491018,-0.15556349186475307,-0.09415544715494106,-0.04195906792231794,-0.0419590679150024,-0.2112530329511571,0.0,-0.1723218675177151,-0.059391387120635755,-0.21138558521077924,-0.19197469172512766,-0.2073107736272674,-0.20084346800495026,-0.04195906796035247,-0.33928855933239493
86220,1,1,0,1,163,142,4,1,0,1,0,0,11,0,1,4,13,7,0,0,16,0,270.0,-0.08414063239330367,0.5119602410493216,-0.21747112062125423,0.9632026705229536,-0.21656160541330008,-0.21332437341939436,-0.07280352570497606,-0.05939138709865208,-0.15556349186475307,-0.0941554471509726,-0.04195906792231794,-0.0419590679150024,-0.2112530329514481,0.0,-0.17232186752440476,-0.059391387095603376,-0.21138558521282738,-0.19197469172377912,-0.2073107736272674,-0.20084346800495026,-0.04195906781887271,-0.33928855933239493
86234,1,0,0,0,113,107,3,0,2,1,1,0,4,0,1,0,1,0,0,0,1,0,195.0,-0.08414063239159869,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.21656160541345187,-0.21332437341922628,-0.07280352570418926,-0.05939138710491018,-0.155563491862002,-0.09415544714944625,-0.0419590679100745,-0.0419590679150024,-0.21125303295303727,0.0,-0.1723218675240372,-0.059391387120635755,-0.21138558521877493,-0.1919746917284991,-0.2073107736272674,-0.20084346800495026,-0.041959067948109025,-0.33928855933239493
86340,3,0,0,2,62,45,1,0,3,2,3,0,7,0,2,5,2,1,0,0,1,4,122.0,-0.08414063236830466,-0.30542549849760964,-0.21747112062125423,5.112326145774587,-0.21656160541389868,-0.21332437342055266,-0.07280352571411458,-0.05939138710491018,-0.1555634918581573,-0.09415544713737568,-0.04195906786360964,-0.0419590679150024,-0.21125303295014106,0.0,-0.17232186752113043,-0.059391387051386364,-0.21138558521721754,-0.19197469172700682,-0.2073107736272674,-0.20084346800495026,-0.04195906794078303,1.916300860348165
86411,1,0,0,0,70,61,0,4,5,1,1,0,4,0,0,0,7,1,0,0,0,0,180.0,-0.08414063239108718,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.21656160541464647,-0.21332437342077365,-0.07280352572543294,-0.05939138706736163,-0.15556349185730228,-0.09415544714898835,-0.04195906790905421,-0.0419590679150024,-0.21125303295290299,0.0,-0.1723218675253604,-0.059391387120635755,-0.2113855852141075,-0.19197469172748766,-0.2073107736272674,-0.20084346800495026,-0.04195906796035247,-0.33928855933239493
86414,2,0,0,0,98,89,2,2,0,2,0,0,8,0,1,0,9,3,0,0,0,0,243.0,-0.0841406323878856,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.2165616054145562,-0.21332437342057184,-0.07280352571406801,-0.059391387091003306,-0.15556349186475307,-0.09415544714612223,-0.04195906792231794,-0.0419590679150024,-0.21125303295206238,0.0,-0.17232186752429857,-0.059391387120635755,-0.21138558521436351,-0.19197469172625148,-0.2073107736272674,-0.20084346800495026,-0.04195906796035247,-0.33928855933239493
86722,2,0,0,0,195,168,3,0,3,2,1,0,17,0,1,2,18,8,0,0,27,0,350.0,-0.0841406323908972,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.2165616054135919,-0.213324373419733,-0.07280352571359718,-0.05939138710491018,-0.15556349186245397,-0.09415544714881827,-0.0419590679154966,-0.0419590679150024,-0.21125303295083286,0.0,-0.1723218675246232,-0.05939138711098041,-0.21138558521237388,-0.19197469172433781,-0.2073107736272674,-0.20084346800495026,-0.04195906777617614,-0.33928855933239493
89073,1,0,0,0,34,20,1,0,1,0,0,0,5,0,0,7,5,3,0,0,12,3,90.0,-0.08414063238443774,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.2165616054147161,-0.213324373421634,-0.07280352571009029,-0.05939138710491018,-0.15556349186177276,-0.09415544715494106,-0.04195906792231794,-0.0419590679150024,-0.21125303295028416,0.0,-0.1723218675253604,-0.05939138698921581,-0.2113855852118033,-0.19197469172243056,-0.2073107736272674,-0.20084346800495026,-0.04195906764202301,1.953894017342172
89186,1,0,0,0,11,8,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,22.0,-0.08414063234333206,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.21656160541395006,-0.21332437342059116,-0.07280352572543294,-0.05939138702810632,-0.15556349186475307,-0.09415544710623702,-0.04195906792231794,-0.0419590679150024,-0.21125303295464884,0.0,-0.1723218675253604,-0.05939138704383189,-0.21138558521948392,-0.1919746917284991,-0.2073107736272674,-0.20084346800495026,-0.04195906796035247,-0.33928855933239493
89571,0,0,0,0,3,3,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,-0.08414063239773663,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.028529733371040172,0.007905702779095672,-0.07280352572543294,-0.05939138710491018,5.209019954740212,-0.09415544715494106,-0.04195906792231794,-0.0419590679150024,0.5743873314212344,0.0,-0.1723218675253604,-0.059391387120635755,1.1711247364579156,-0.1919746917284991,-0.2073107736272674,-0.20084346800495026,-0.04195906796035247,-0.33928855933239493
90991,0,0,5,0,33,25,0,0,0,0,0,0,7,0,1,0,0,0,1,2,0,0,0.0,-0.08414063239773663,-0.30542549849760964,3.2007904162155874,-0.24778552081913527,1.8517889870893973,1.6302595949297973,-0.07280352572543294,-0.05939138710491018,-0.15556349186475307,-0.09415544715494106,-0.04195906792231794,-0.0419590679150024,5.288229517676535,0.0,2.407971359313946,-0.059391387120635755,-0.21138558521948392,-0.1919746917284991,0.3824883773423084,1.014900503216504,-0.04195906796035247,-0.33928855933239493
91002,1,0,0,0,41,35,0,0,0,0,0,0,5,0,5,0,9,6,0,0,0,0,90.0,-0.08414063238443774,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.21656160541422864,-0.21332437342040492,-0.07280352572543294,-0.05939138710491018,-0.15556349186475307,-0.09415544715494106,-0.04195906792231794,-0.0419590679150024,-0.21125303295028416,0.0,-0.17232186751102546,-0.059391387120635755,-0.21138558520565884,-0.19197469171636203,-0.2073107736272674,-0.20084346800495026,-0.04195906796035247,-0.33928855933239493
91019,6,1,0,2,172,134,2,5,11,5,4,0,7,0,0,4,0,0,0,0,3,6,310.0,-0.08414063237457081,0.40649111336588056,-0.21747112062125423,1.861677780228475,-0.21656160541360636,-0.2133243734200851,-0.07280352571652429,-0.0593913870776572,-0.15556349185523527,-0.094155447137659,-0.04195906789151186,-0.0419590679150024,-0.21125303295287481,0.0,-0.1723218675253604,-0.05939138709883337,-0.21138558521948392,-0.1919746917284991,-0.2073107736272674,-0.20084346800495026,-0.041959067937247914,0.9922368077700167
91156,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1.0,-0.08414063239773663,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.21656160540454847,-0.21332437340852406,-0.07280352572543294,-0.05939138710491018,-0.15556349186475307,-0.09415544715494106,-0.04195906792231794,-0.0419590679150024,-0.21125303295464884,0.0,-0.1723218675253604,-0.059391387120635755,-0.21138558480473083,-0.1919746917284991,-0.2073107736272674,-0.20084346800495026,-0.04195906796035247,-0.33928855933239493
91263,4,0,0,0,68,59,0,0,0,1,0,0,17,0,11,0,7,4,0,0,0,0,236.0,-0.08414063237745018,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.21656160541527797,-0.21332437342142913,-0.07280352572543294,-0.05939138710491018,-0.15556349186475307,-0.09415544715040086,-0.04195906792231794,-0.0419590679150024,-0.21125303294898956,0.0,-0.17232186751333362,-0.059391387120635755,-0.21138558521538325,-0.1919746917254134,-0.2073107736272674,-0.20084346800495026,-0.04195906796035247,-0.33928855933239493
91502,2,0,0,0,87,77,4,3,0,2,0,0,9,0,1,0,7,2,0,0,0,0,182.0,-0.08414063238458389,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.2165616054140878,-0.21332437342015279,-0.07280352569508482,-0.059391387077058225,-0.15556349186475307,-0.09415544714316647,-0.04195906792231794,-0.0419590679150024,-0.2112530329507638,0.0,-0.17232186752394268,-0.059391387120635755,-0.21138558521416656,-0.19197469172649848,-0.2073107736272674,-0.20084346800495026,-0.04195906796035247,-0.33928855933239493
91702,1,0,0,0,173,126,5,3,1,0,2,0,17,0,2,23,16,7,0,0,43,0,390.0,-0.08414063239466765,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.21656160541430364,-0.21332437342089022,-0.07280352570772987,-0.059391387091912606,-0.15556349186406532,-0.09415544715494106,-0.0419590679100745,-0.0419590679150024,-0.21125303295122427,0.0,-0.1723218675240372,-0.05939138702098766,-0.21138558521381207,-0.1919746917252314,-0.2073107736272674,-0.20084346800495026,-0.04195906769711849,-0.33928855933239493
94630,1,0,0,0,81,78,0,0,0,1,0,0,5,0,5,0,3,3,0,0,0,0,90.0,-0.08414063238443774,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.21656160541144298,-0.21332437341688162,-0.07280352572543294,-0.05939138710491018,-0.15556349186475307,-0.09415544714303564,-0.04195906792231794,-0.0419590679150024,-0.21125303295028416,0.0,-0.17232186751102546,-0.059391387120635755,-0.21138558521487558,-0.19197469172243056,-0.2073107736272674,-0.20084346800495026,-0.04195906796035247,-0.33928855933239493
94650,3,1,0,0,80,70,3,2,2,3,0,0,13,0,5,2,5,0,0,0,1,0,246.0,-0.08414063238314029,0.5917051912489898,-0.21747112062125423,-0.24778552081913527,-0.21656160541504565,-0.21332437342117433,-0.07280352570859344,-0.05939138709117291,-0.15556349186257237,-0.09415544714187413,-0.04195906792231794,-0.0419590679150024,-0.21125303295049708,0.0,-0.1723218675201159,-0.05939138710689848,-0.21138558521667397,-0.1919746917284991,-0.2073107736272674,-0.20084346800495026,-0.04195906795064731,-0.33928855933239493
94695,2,0,0,0,149,120,3,5,1,2,0,0,16,0,11,9,26,15,0,0,25,0,360.0,-0.08414063239108718,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.2165616054144898,-0.21332437342081462,-0.07280352571392594,-0.059391387081442336,-0.155563491864008,-0.09415544714898835,-0.04195906792231794,-0.0419590679150024,-0.2112530329511571,0.0,-0.1723218675174762,-0.05939138707839363,-0.21138558520949913,-0.19197469172091342,-0.2073107736272674,-0.20084346800495026,-0.041959067794555875,-0.33928855933239493
94764,1,0,0,0,15,15,1,0,2,1,0,0,2,0,1,0,6,3,0,0,0,0,82.0,-0.08414063238314029,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.21656160541593739,-0.21332437342192376,-0.07280352570859344,-0.05939138710491018,-0.15556349185821092,-0.09415544714187413,-0.04195906792231794,-0.0419590679150024,-0.21125303295273265,0.0,-0.1723218675222137,-0.059391387120635755,-0.211385585209368,-0.1919746917218385,-0.2073107736272674,-0.20084346800495026,-0.04195906796035247,-0.33928855933239493
94814,1,0,0,0,167,157,0,0,1,0,0,0,6,0,12,0,17,10,0,0,1,0,270.0,-0.08414063239330367,-0.30542549849760964,-0.21747112062125423,-0.24778552081913527,-0.21656160541320724,-0.21332437341898466,-0.07280352572543294,-0.05939138710491018,-0.15556349186375965,-0.09415544715494106,-0.04195906792231794,-0.0419590679150024,-0.21125303295290299,0.0,-0.17232186751389245,-0.059391387120635755,-0.21138558521077924,-0.19197469172175627,-0.2073107736272674,-0.20084346800495026,-0.041959067951509985,-0.33928855933239493
94828,0,0,0,1,228,198,5,2,4,0,3,0,22,0,9,7,6,2,0,0,1,10,341.0,-0.08414063239773663,-0.30542549849760964,-0.21747112062125423,0.7110614342025339,-0.2165616054128932,-0.21332437341899083,-0.07280352570518603,-0.059391387095000005,-0.1555634918616067,-0.09415544715494106,-0.0419590679013138,-0.0419590679150024,-0.2112530329495802,0.0,-0.17232186751855028,-0.05939138708595013,-0.21138558521705134,-0.1919746917274313,-0.2073107736272674,-0.20084346800495026,-0.04195906795335109,1.6781741180955607
